datetime,00060_from dcp_Maximum,00060_from dcp_Maximum_cd,site_no,00060_from dcp_Minimum,00060_from dcp_Minimum_cd,00060_from dcp_Mean,00060_from dcp_Mean_cd
2015-10-21 00:00:00+00:00,174.0,A,08049300,133.0,A,157.0,A
2015-10-22 00:00:00+00:00,983.0,A,08049300,140.0,A,217.0,A
2015-10-23 00:00:00+00:00,10500.0,A,08049300,983.0,A,8010.0,A
2015-10-24 00:00:00+00:00,13600.0,A,08049300,6860.0,A,11800.0,A
2015-10-25 00:00:00+00:00,6860.0,A,08049300,1160.0,A,2350.0,A
2015-10-26 00:00:00+00:00,1160.0,A,08049300,667.0,A,832.0,A
2015-10-27 00:00:00+00:00,670.0,A,08049300,487.0,A,552.0,A
2015-10-28 00:00:00+00:00,492.0,A,08049300,347.0,A,437.0,A
2015-10-29 00:00:00+00:00,419.0,A,08049300,329.0,A,374.0,A
2015-10-30 00:00:00+00:00,4730.0,A,08049300,329.0,A,1170.0,A
2015-10-31 00:00:00+00:00,11200.0,A,08049300,4730.0,A,9160.0,A
2015-11-01 00:00:00+00:00,6510.0,A,08049300,2110.0,A,3690.0,A
2015-11-02 00:00:00+00:00,2110.0,A,08049300,1100.0,A,1510.0,A
2015-11-03 00:00:00+00:00,1100.0,A,08049300,713.0,A,858.0,A
2015-11-04 00:00:00+00:00,713.0,A,08049300,530.0,A,614.0,A
2015-11-05 00:00:00+00:00,538.0,A,08049300,441.0,A,480.0,A
2015-11-06 00:00:00+00:00,588.0,A,08049300,459.0,A,529.0,A
2015-11-07 00:00:00+00:00,532.0,A,08049300,393.0,A,445.0,A
2015-11-08 00:00:00+00:00,538.0,A,08049300,417.0,A,464.0,A
2015-11-09 00:00:00+00:00,417.0,A,08049300,319.0,A,351.0,A
2015-11-10 00:00:00+00:00,336.0,A,08049300,273.0,A,307.0,A
2015-11-11 00:00:00+00:00,317.0,A,08049300,250.0,A,288.0,A
2015-11-12 00:00:00+00:00,306.0,A,08049300,214.0,A,270.0,A
2015-11-13 00:00:00+00:00,273.0,A,08049300,190.0,A,247.0,A
2015-11-14 00:00:00+00:00,262.0,A,08049300,200.0,A,235.0,A
2015-11-15 00:00:00+00:00,314.0,A,08049300,190.0,A,238.0,A
2015-11-16 00:00:00+00:00,767.0,A,08049300,314.0,A,631.0,A
2015-11-17 00:00:00+00:00,3670.0,A,08049300,643.0,A,2120.0,A
2015-11-18 00:00:00+00:00,1900.0,A,08049300,622.0,A,990.0,A
2015-11-19 00:00:00+00:00,622.0,A,08049300,454.0,A,513.0,A
2015-11-20 00:00:00+00:00,461.0,A,08049300,376.0,A,407.0,A
2015-11-21 00:00:00+00:00,383.0,A,08049300,308.0,A,347.0,A
2015-11-22 00:00:00+00:00,351.0,A,08049300,268.0,A,307.0,A
2015-11-23 00:00:00+00:00,319.0,A,08049300,252.0,A,288.0,A
2015-11-24 00:00:00+00:00,300.0,A,08049300,239.0,A,271.0,A
2015-11-25 00:00:00+00:00,302.0,A,08049300,232.0,A,272.0,A
2015-11-26 00:00:00+00:00,4410.0,A,08049300,228.0,A,461.0,A
2015-11-27 00:00:00+00:00,17400.0,A,08049300,4410.0,A,15300.0,A
2015-11-28 00:00:00+00:00,18100.0,A,08049300,16800.0,A,17600.0,A
2015-11-29 00:00:00+00:00,17500.0,A,08049300,16900.0,A,17100.0,A
2015-11-30 00:00:00+00:00,17200.0,A,08049300,16400.0,A,16900.0,A
2015-12-01 00:00:00+00:00,16400.0,A,08049300,14600.0,A,15600.0,A
2015-12-02 00:00:00+00:00,14600.0,A,08049300,11600.0,A,13000.0,A
2015-12-03 00:00:00+00:00,11600.0,A,08049300,9280.0,A,10300.0,A
2015-12-04 00:00:00+00:00,9280.0,A,08049300,7940.0,A,8570.0,A
2015-12-05 00:00:00+00:00,7940.0,A,08049300,6700.0,A,7300.0,A
2015-12-06 00:00:00+00:00,6700.0,A,08049300,6330.0,A,6450.0,A
2015-12-07 00:00:00+00:00,6360.0,A,08049300,5430.0,A,5850.0,A
2015-12-08 00:00:00+00:00,5730.0,A,08049300,5430.0,A,5580.0,A
2015-12-09 00:00:00+00:00,5660.0,A,08049300,5010.0,A,5360.0,A
2015-12-10 00:00:00+00:00,5010.0,A,08049300,4700.0,A,4840.0,A
2015-12-11 00:00:00+00:00,4700.0,A,08049300,4180.0,A,4390.0,A
2015-12-12 00:00:00+00:00,4180.0,A,08049300,4050.0,A,4120.0,A
2015-12-13 00:00:00+00:00,7910.0,A,08049300,4120.0,A,6290.0,A
2015-12-14 00:00:00+00:00,5420.0,A,08049300,1770.0,A,2790.0,A
2015-12-15 00:00:00+00:00,1770.0,A,08049300,1250.0,A,1440.0,A
2015-12-16 00:00:00+00:00,2360.0,A,08049300,1260.0,A,1910.0,A
2015-12-17 00:00:00+00:00,2520.0,A,08049300,2360.0,A,2480.0,A
2015-12-18 00:00:00+00:00,2550.0,A,08049300,2410.0,A,2480.0,A
2015-12-19 00:00:00+00:00,2460.0,A,08049300,2370.0,A,2410.0,A
2015-12-20 00:00:00+00:00,2450.0,A,08049300,2350.0,A,2400.0,A
2015-12-21 00:00:00+00:00,2460.0,A,08049300,2370.0,A,2410.0,A
2015-12-22 00:00:00+00:00,2460.0,A,08049300,2360.0,A,2400.0,A
2015-12-23 00:00:00+00:00,2390.0,A,08049300,2260.0,A,2340.0,A
2015-12-24 00:00:00+00:00,2360.0,A,08049300,2150.0,A,2220.0,A
2015-12-25 00:00:00+00:00,2180.0,A,08049300,1980.0,A,2090.0,A
2015-12-26 00:00:00+00:00,2310.0,A,08049300,1980.0,A,2050.0,A
2015-12-27 00:00:00+00:00,13300.0,A,08049300,2310.0,A,9270.0,A
2015-12-28 00:00:00+00:00,14400.0,A,08049300,13000.0,A,13900.0,A
2015-12-29 00:00:00+00:00,13000.0,A,08049300,7310.0,A,9900.0,A
2015-12-30 00:00:00+00:00,7310.0,A,08049300,5530.0,A,6220.0,A
2015-12-31 00:00:00+00:00,5530.0,A,08049300,4870.0,A,5150.0,A
2016-01-01 00:00:00+00:00,4950.0,A,08049300,4820.0,A,4900.0,A
2016-01-02 00:00:00+00:00,4960.0,A,08049300,4670.0,A,4760.0,A
2016-01-03 00:00:00+00:00,5400.0,A,08049300,4960.0,A,5300.0,A
2016-01-04 00:00:00+00:00,5390.0,A,08049300,5260.0,A,5300.0,A
2016-01-05 00:00:00+00:00,5600.0,A,08049300,5290.0,A,5510.0,A
2016-01-06 00:00:00+00:00,5920.0,A,08049300,5300.0,A,5400.0,A
2016-01-07 00:00:00+00:00,7100.0,A,08049300,5150.0,A,6280.0,A
2016-01-08 00:00:00+00:00,5150.0,A,08049300,3960.0,A,4460.0,A
2016-01-09 00:00:00+00:00,3960.0,A,08049300,3330.0,A,3570.0,A
2016-01-10 00:00:00+00:00,3340.0,A,08049300,2920.0,A,3050.0,A
2016-01-11 00:00:00+00:00,2930.0,A,08049300,2160.0,A,2750.0,A
2016-01-12 00:00:00+00:00,2160.0,A,08049300,1710.0,A,1780.0,A
2016-01-13 00:00:00+00:00,1760.0,A,08049300,1640.0,A,1710.0,A
2016-01-14 00:00:00+00:00,1700.0,A,08049300,1650.0,A,1680.0,A
2016-01-15 00:00:00+00:00,1680.0,A,08049300,1430.0,A,1630.0,A
2016-01-16 00:00:00+00:00,1430.0,A,08049300,1070.0,A,1160.0,A
2016-01-17 00:00:00+00:00,1120.0,A,08049300,1010.0,A,1070.0,A
2016-01-18 00:00:00+00:00,1080.0,A,08049300,976.0,A,1040.0,A
2016-01-19 00:00:00+00:00,1070.0,A,08049300,954.0,A,1010.0,A
2016-01-20 00:00:00+00:00,1040.0,A,08049300,976.0,A,1010.0,A
2016-01-21 00:00:00+00:00,976.0,A,08049300,670.0,A,772.0,A
2016-01-22 00:00:00+00:00,830.0,A,08049300,661.0,A,744.0,A
2016-01-23 00:00:00+00:00,661.0,A,08049300,511.0,A,565.0,A
2016-01-24 00:00:00+00:00,543.0,A,08049300,441.0,A,493.0,A
2016-01-25 00:00:00+00:00,521.0,A,08049300,434.0,A,484.0,A
2016-01-26 00:00:00+00:00,516.0,A,08049300,449.0,A,483.0,A
2016-01-27 00:00:00+00:00,505.0,A,08049300,421.0,A,469.0,A
2016-01-28 00:00:00+00:00,497.0,A,08049300,431.0,A,466.0,A
2016-01-29 00:00:00+00:00,492.0,A,08049300,409.0,A,458.0,A
2016-01-30 00:00:00+00:00,482.0,A,08049300,393.0,A,443.0,A
2016-01-31 00:00:00+00:00,464.0,A,08049300,376.0,A,429.0,A
2016-02-01 00:00:00+00:00,459.0,A,08049300,400.0,A,434.0,A
2016-02-02 00:00:00+00:00,451.0,A,08049300,369.0,A,418.0,A
2016-02-03 00:00:00+00:00,466.0,A,08049300,404.0,A,445.0,A
2016-02-04 00:00:00+00:00,441.0,A,08049300,367.0,A,404.0,A
2016-02-05 00:00:00+00:00,404.0,A,08049300,338.0,A,378.0,A
